ID 	 SPEED
------	-------
0 	 38
1 	 44
3 	 32
4 	 52
5 	 44
7 	 50
12 	 36
11 	 27
13 	 29
14 	 52
15 	 43
23 	 39
24 	 43
34 	 63
37 	 47
39 	 37
43 	 44
53 	 44
55 	 35
56 	 35
57 	 67
59 	 43
65 	 66
66 	 59
69 	 89<---exceeded
71 	 89<---exceeded
94 	 49
98 	 60
99 	 84<---exceeded
100 	 66
101 	 54
104 	 66
107 	 158<---exceeded
105 	 84<---exceeded
113 	 44
120 	 49
124 	 53
128 	 38
140 	 42
144 	 47
148 	 53
152 	 54
154 	 62
155 	 47
164 	 60
165 	 60
166 	 60
167 	 60
170 	 53
175 	 65
176 	 70
179 	 37
181 	 103<---exceeded
180 	 103<---exceeded
185 	 37
186 	 44
191 	 36
192 	 38
193 	 65
194 	 63
198 	 40
199 	 53
